investor_id,gap_days,status
INV000001,76.0,At-Risk
INV000002,207.0,At-Risk
INV000003,238.0,At-Risk
INV000004,85.4,At-Risk
INV000005,14.0,Healthy
INV000006,123.75,At-Risk
INV000007,104.5,At-Risk
INV000008,70.4,At-Risk
INV000009,85.33333333333333,At-Risk
INV000010,64.8,At-Risk
INV000011,40.166666666666664,At-Risk
INV000012,57.0,At-Risk
INV000013,55.333333333333336,At-Risk
INV000014,75.33333333333333,At-Risk
INV000015,,Healthy
INV000016,,Healthy
INV000017,,Healthy
INV000018,50.0,At-Risk
INV000019,205.0,At-Risk
INV000020,16.0,Healthy
INV000021,144.0,At-Risk
INV000022,40.0,At-Risk
INV000023,58.57142857142857,At-Risk
INV000024,75.75,At-Risk
INV000025,,Healthy
INV000026,144.66666666666666,At-Risk
INV000027,341.0,At-Risk
INV000028,93.6,At-Risk
INV000029,60.666666666666664,At-Risk
INV000030,47.625,At-Risk
INV000031,145.0,At-Risk
INV000032,102.33333333333333,At-Risk
INV000033,45.57142857142857,At-Risk
INV000034,,Healthy
INV000035,144.0,At-Risk
INV000036,99.0,At-Risk
INV000037,63.0,At-Risk
INV000038,69.0,At-Risk
INV000039,68.6,At-Risk
INV000040,55.0,At-Risk
INV000041,,Healthy
INV000042,22.666666666666668,Healthy
INV000043,,Healthy
INV000044,17.0,Healthy
INV000045,70.6,At-Risk
INV000046,33.666666666666664,Healthy
INV000047,77.0,At-Risk
INV000048,46.0,At-Risk
INV000049,247.5,At-Risk
INV000050,143.0,At-Risk
INV000051,74.5,At-Risk
INV000052,36.2,At-Risk
INV000053,7.0,Healthy
INV000054,68.25,At-Risk
INV000055,100.0,At-Risk
INV000056,74.8,At-Risk
INV000057,49.714285714285715,At-Risk
INV000058,76.75,At-Risk
INV000059,,Healthy
INV000060,90.0,At-Risk
INV000061,20.0,Healthy
INV000062,116.0,At-Risk
INV000063,218.0,At-Risk
INV000065,112.33333333333333,At-Risk
INV000066,98.0,At-Risk
INV000067,,Healthy
INV000069,49.111111111111114,At-Risk
INV000070,92.0,At-Risk
INV000071,24.333333333333332,Healthy
INV000072,83.0,At-Risk
INV000073,48.25,At-Risk
INV000074,72.57142857142857,At-Risk
INV000075,74.8,At-Risk
INV000076,91.8,At-Risk
INV000078,,Healthy
INV000079,65.8,At-Risk
INV000080,81.0,At-Risk
INV000081,81.33333333333333,At-Risk
INV000082,83.66666666666667,At-Risk
INV000083,,Healthy
INV000084,102.0,At-Risk
INV000085,91.25,At-Risk
INV000086,44.666666666666664,At-Risk
INV000087,92.8,At-Risk
INV000088,9.0,Healthy
INV000089,121.33333333333333,At-Risk
INV000090,145.5,At-Risk
INV000091,44.0,At-Risk
INV000092,7.5,Healthy
INV000093,55.5,At-Risk
INV000094,44.8,At-Risk
INV000095,69.4,At-Risk
INV000096,2.0,Healthy
INV000097,54.5,At-Risk
INV000098,51.25,At-Risk
INV000099,91.75,At-Risk
INV000100,215.0,At-Risk
INV000101,65.0,At-Risk
INV000102,65.28571428571429,At-Risk
INV000103,83.4,At-Risk
INV000104,115.0,At-Risk
INV000105,57.0,At-Risk
INV000106,112.0,At-Risk
INV000107,100.0,At-Risk
INV000108,70.0,At-Risk
INV000109,46.25,At-Risk
INV000110,122.0,At-Risk
INV000111,,Healthy
INV000112,120.5,At-Risk
INV000113,46.0,At-Risk
INV000114,,Healthy
INV000115,140.33333333333334,At-Risk
INV000116,157.5,At-Risk
INV000117,117.33333333333333,At-Risk
INV000118,50.5,At-Risk
INV000119,142.0,At-Risk
INV000120,117.5,At-Risk
INV000121,170.0,At-Risk
INV000122,,Healthy
INV000123,59.666666666666664,At-Risk
INV000124,144.66666666666666,At-Risk
INV000125,85.75,At-Risk
INV000126,,Healthy
INV000127,,Healthy
INV000128,82.0,At-Risk
INV000129,108.5,At-Risk
INV000130,170.0,At-Risk
INV000131,56.0,At-Risk
INV000132,71.0,At-Risk
INV000133,88.2,At-Risk
INV000134,87.0,At-Risk
INV000135,120.0,At-Risk
INV000136,,Healthy
INV000137,81.33333333333333,At-Risk
INV000138,76.2,At-Risk
INV000139,,Healthy
INV000140,157.0,At-Risk
INV000141,,Healthy
INV000143,102.66666666666667,At-Risk
INV000144,182.5,At-Risk
INV000145,89.4,At-Risk
INV000146,66.8,At-Risk
